SITECODE,Latitude,Longitude,ELEV,ELEV_Cate,Location,Continent,Country,Cite,Genus.spp,TaxGroup,Order,Family,Genus,Species,GF,DecEv,SLA,Amass,Aarea,Nmass,Narea,PPTmean,PPTmin,PPTmax,PPTcv,PPTseason,RH,TMPmean,TMPmin,TMPmax,TMPrange,TMPiso,TMP0gs,TMP5gs,TMP0nb,TMP5nb,SUNmean,SUNmin,SUNmax,SUNrange,PAR0,PAR5,RAD,PETf,PETq,Mif,Miq,ALU,SODIUM,CARB,TBA,SBA,SALT,Ntot,CN,AWHC,pH,CECS,CECC,BULK,CLAY,SILT,SAND,GRAVEL,Corg,DEPTH,Pavail,P.Distance
1,48.85,-123.68,1138,Very High,Vancouver Isl.,North America,Canada,"Mitchell, A.K. 1998. Acclimation of Pacific yew (Taxus brevifolia) foliage to sun and shade. Tree Physiol. 18: 749-757 [415]",Taxus brevifolia,Gymno,Taxales,Taxaceae,Taxus,brevifolia,T,E,90.43333333,32.57033333,3.6,1.423333333,1.643389973,2180,31.7,254.4,0.52322168,0.435411058,79.275,4.1,1.9,17.1,79,39,272.9541364,139.7955535,30.41666667,20.16666667,38.4666667,16.9,55.2,38.3,830.0991828,724.1034213,117.0833333,574,718.7519028,3.797909408,3.033035449,28.5,1,35.27718786,4.1,37,0.1,2.167000006,12.03799997,19.1,5.6,21,30,1.267,24,35,41,23,67,140,25.86666667,17.72411972
2,-12.43948,130.92382,39,Very Low,"NT, Australia",Australia,Australia,"Eamus, D., Prichard, H. 1998. A cost-benefit alysis of leaves of four Australian savan species. Tree Physiol. 18: 537-545. [416]",Eucalyptus miniata,Angio,Myrtales,Myrtaceae,Eucalyptus,careya,T,E,84.426,120.64,14.52,1.102,1.280253408,1653,0.7,427.8,1.09758834,0.697623041,61.6333333,27.3,24.9,29.4,98,62,842.1457725,690.0624388,30.41666667,30.41666667,70.2833333,44.2,87,42.8,1443.251727,1443.251727,180.4356,2005,1686.038379,0.824438903,0.980404692,26.3,1.3,50.10266999,2.69,47.55,0.1,0.938999993,11.44950083,11.4,5.4,8,15,1.459,35,20,46,2,7,107,5.954,77.62419196
4,53.85,-105.12,538,Medium,"Prince Albert, Saskatchewan",North America,Canada,"Sullivan, J.H., Bovard, B.D., Middleton, E.M. 1997. Variability in leaf-level CO2 and water fluxes in Pinus banksia and Picea maria in Sasketchewan. Tree Physiol. 17: 553-561 [420]",Pinus banksia,Gymno,Piles,Piceae,Pinus,banksia,T,E,48.29626533,17.2067289,3.455555556,0.947777778,2.042269392,473,17.3,78.8,0.55209659,0.334464615,69.7666667,-0.6,-21.1,16.7,120,24,171.6565927,97.09702975,16.16666667,13.5,44.9916667,30.1,57.7,27.7,635.9705511,559.7839838,116.6666667,675,588.1776085,0.700740741,0.794200116,17.5,1,35.05267538,9.19,28.6,0.1,5.241499927,20.27150024,24.65,5.8,18,82.4,1.333,16,35,48,11,43,180,250,10
5,44.7,-0.7666667,63,Very Low,France,Europe,France,"Porte, A., Loustau, D. 1998. Variability of the photosynthetic characteristics of mature needles within the crown of a 25-year-old Pinus pister. Tree Physiol. 18: 223-232 [421]",Pinus pister,Gymno,Piles,Piceae,Pinus,pister,T,E,65.4,62.91016667,9.6,1.186666667,1.83875833,999,47.9,103.7,0.2263071,0.145189361,78.0416667,12.6,6.1,20.2,99,41,392.5426614,240.4593281,30.41666667,30.41666667,44.9583333,30.4,58,27.6,914.71002,914.71002,133.25,842,815.6968255,1.186460808,1.224719643,23.5,1,14.76112401,2.6,11,0.1,2.465999994,20.30599547,14.65,6.1,12,101,1.331,8,25,67,7,24,120,27.68046667,23.92492365
7,44.8,-72.983333,205,Low,Fairfield_Vermont,North America,United States,"Liu, X., Ellsworth, D.S., Tyree, M.T. 1997. Leaf nutrition and photosynthetic performance of sugar maple (Acer saccharum) in stands with contrasting health conditions. Tree Physiol. 17: 169-178. [423]",Acer saccharum,Angio,Sapindales,Sapindaceae,Acer,saccharum,T,D,125.35,205.55,14.25,1.705,1.360968685,980,55.7,123.1,0.21640578,0.126482656,71.65,5.9,-9.3,20,110,27,247.1799489,153.8031729,20.5,16.75,44.4833333,27.2,59.2,32,769.3575415,684.9779381,120.5833333,821,736.6481136,1.193666261,1.330350233,22.85,1.3,19.543,6.94,37.9,0.1,2.614500031,15.81300247,20.55,5.4,14,65,1.41,13,36,52,11,49,51,19.09666667,13.16987704
8,60.85,129.6667,339,Low,Yakutsk,Asia,Russia,"Ryan, M.G., Hubbard, R.M., Pongracic, S., Raison, R.J. & McMurtrie, R.E. (1996) Foliage, fine-root, woody tissue and stand respiration in Pinus radiata in relation to nitrogen status. Tree Physiol. 16: 333-343 [424]",Larix gmelinii,Gymno,Piles,Piceae,Larix,gmelinii,T,D,72.5,73.225,10.1,1.56,2.15172414,313,8.6,52.2,0.64055701,0.404784201,78.5583333,-10.2,-39.8,17.9,115,16,141.366129,83.73279567,12.5,10.58333333,43.2416667,12.7,63,50.3,512.2366164,453.1286766,87.5,514,475.3092882,0.608949416,0.658518585,15.5,0.2,29.68526698,6.71,88,0.1,1.18499999,13.2700003,13.5,5.6,31,37,1.259,19,42,39,6,120,95,7.106666667,1
9,40.8144444,-77.930556,420,Medium,State College_Pennsylvania,North America,United States,"Abrams, M.D., Mostoller, S.A. 1995. Gas exchange, leaf structure and nitrogen in contrasting successiol tree species growing in open and understory sites during a drought. Tree Physiol. 15: 361-370 [425]",Acer rubrum,Angio,Corles,Corceae,Acer,america,T,D,126.6,69.36725,5.566666667,1.861666667,1.497808573,993,63,101.9,0.14888721,0.079913607,70.1583333,9,-4.3,21.7,111,30,300.4591635,193.8594483,23.41666667,19.33333333,50.2666667,32.5,62.6,30.1,909.2070533,817.7752966,127,958,884.5077436,1.036534447,1.122658275,12.15,1,21.73923962,8.23,73.4,0.1,0.961499998,10.17499966,13.8,6.2,16,35.6,1.496,24,39,37,8,16,125,21,79.43825483
10,41.42,-3.0083333,1126,Very High,Spain,Europe,Spain,"Castell, C., Terradas, J. 1995. Water relations, gas exchange and growth of domint and suppressed shoots of Arbutus unedo L. Tree Physiol. 15: 405-409 [426]",Arbutus unedo,Angio,Ericales,Ericaceae,Arbutus,unedo,T,E,76.9,72.5,10.5,1.5,1.95058518,528,18.2,69.6,0.31763239,0.148979477,68.1,10.1,3,20.2,110,37,322.7624447,180.8566704,30.41666667,22.66666667,51.725,36.8,75.6,38.8,1058.227928,937.0359192,153.25,1007,955.9563965,0.524329692,0.552326447,13,3.1,68.957,38.195,91.35,0.459999993,0.955500006,9.293499702,14.85,7.3,16,50.25,1.424,25,34,41,18,8,125,20.82253333,23.82720607
15,9.9,-83.68,2784,Very High,"Turrialba, Costa Rica",Central America,Costa Rica,"Nygren, P. 1995. Leaf CO2 exchange of Erythri poeppigia (Leguminosae: Phaseolae) in humid tropical field conditions. Tree Physiol. 15: 71-83. [429]",Erythri poeppigia,Angio,Fabales,Fabaceae,Erythri,poeppigia,T,E,139,276.61,19.9,5.08,3.65467626,2349,128.9,391.6,0.94960871,0.194941705,72.9083333,10.9,17.4,19.5,75,78,570.1692909,418.0859576,30.41666667,30.41666667,65.1083333,48.9,56.4,7.5,1345.975383,1345.975383,184.5,1247,1525.369681,1.88372093,1.539954563,7.5,1,1.096,8.12,28.2,23.13200004,2.594250036,11.23875034,20.775,5.4,16,23.2,1.097,13,45,42,8,28,180,248.2433333,21.54897743
16,48.48,16.36,177,Very Low,S. Moravia,Europe,Czech Republic,"Kazda, M., Salzer, J., Reiter, I. 2000. Photosynthetic capacity in relation to nitrogen in the canopy of a Quercus robur, Fraxinus angustifolia and Tilia cordata flood plain forest. Tree physiology 20: 1029-1037.",Quercus robur,Angio,Fagales,Fagaceae,Quercus,cordata,T,D,220.37,293.07791,13.162,2.982,1.59692248,613,30.5,73.2,0.31640705,0.186456959,73.8583333,9.3,-1.3,19.6,94,31,299.0897891,183.1306887,27,20.25,36.65,19.1,51,31.9,786.6021985,709.3253725,122.8333333,797,700.7235375,0.769134253,0.874810052,9,1.7,19.3575,19.78,100,0.29,1.92250002,10.59250096,14.55,7.3,19,65.1,1.308,30,39,31,8,11,120,27.04086667,7.619157777
